Image,Target Image,Similarity
C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-eps-vector-logo-400x400.png,C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-eps-vector-logo-400x400.png,99.99999403953552
C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\renault-lines-vector-logo-400x400.png,C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-eps-vector-logo-400x400.png,64.7196352481842
C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\dropbox-logo-400x400.png,C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-eps-vector-logo-400x400.png,64.30383920669556
C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\nike-inc-eps-vector-logo-400x400.png,C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-eps-vector-logo-400x400.png,64.00133967399597
C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\renault-old-1992-vector-logo-400x400.png,C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-eps-vector-logo-400x400.png,63.778918981552124
C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\Reuters-logo-preview-400x400.png,C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-eps-vector-logo-400x400.png,62.66747713088989
C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\swastika-logo-vector-400x400.jpg,C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-eps-vector-logo-400x400.png,62.341272830963135
C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\maltese-cross-vector-logo-400x400.png,C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-eps-vector-logo-400x400.png,62.25491762161255
C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\xxx-tv-vector-logo-400x400.png,C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-eps-vector-logo-400x400.png,61.660075187683105
C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-logo.png,C:\Users\DGU_ICE\FindOwn\ImageDB\Logos\uefa-champions-league-eps-vector-logo-400x400.png,61.1455500125885
