Source Image,Target Image,Similarity
C:\Users\DGU_ICE\FindOwn\ImageDesign\page131_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page131_image2.png,0.85990644
C:\Users\DGU_ICE\FindOwn\ImageDesign\page132_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page132_image2.png,0.25705618
C:\Users\DGU_ICE\FindOwn\ImageDesign\page133_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page133_image2.png,0.28404707
C:\Users\DGU_ICE\FindOwn\ImageDesign\page134_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page134_image2.png,0.07913855
C:\Users\DGU_ICE\FindOwn\ImageDesign\page135_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page135_image2.png,0.75278795
C:\Users\DGU_ICE\FindOwn\ImageDesign\page136_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page136_image2.png,0.53082365
C:\Users\DGU_ICE\FindOwn\ImageDesign\page137_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page137_image2.png,0.8297653
C:\Users\DGU_ICE\FindOwn\ImageDesign\page138_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page138_image2.png,0.7928255
C:\Users\DGU_ICE\FindOwn\ImageDesign\page139_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page139_image2.png,0.44123366
C:\Users\DGU_ICE\FindOwn\ImageDesign\page140_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page140_image2.png,0.54181856
C:\Users\DGU_ICE\FindOwn\ImageDesign\page141_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page141_image2.png,0.6151987
C:\Users\DGU_ICE\FindOwn\ImageDesign\page142_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page142_image2.png,0.30904594
C:\Users\DGU_ICE\FindOwn\ImageDesign\page143_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page143_image2.png,0.41488847
C:\Users\DGU_ICE\FindOwn\ImageDesign\page144_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page144_image2.png,0.25506163
C:\Users\DGU_ICE\FindOwn\ImageDesign\page145_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page145_image2.png,0.33686942
C:\Users\DGU_ICE\FindOwn\ImageDesign\page146_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page146_image2.png,0.3564326
C:\Users\DGU_ICE\FindOwn\ImageDesign\page147_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page147_image2.png,0.673093
C:\Users\DGU_ICE\FindOwn\ImageDesign\page148_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page148_image2.png,0.5593494
C:\Users\DGU_ICE\FindOwn\ImageDesign\page149_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page149_image2.png,0.7463249
C:\Users\DGU_ICE\FindOwn\ImageDesign\page150_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page150_image2.png,0.39417043
C:\Users\DGU_ICE\FindOwn\ImageDesign\page151_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page151_image2.png,0.6572589
C:\Users\DGU_ICE\FindOwn\ImageDesign\page152_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page152_image2.png,0.89111036
