Source Image,Target Image,Similarity
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page1011_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page1011_image2.png,0.61580163
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page101_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page101_image2.png,0.62928313
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page103_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page103_image2.png,0.45375288
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page104_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page104_image2.png,0.66242766
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page105_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page105_image2.png,0.28710145
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page106_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page106_image2.png,0.72027814
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page112_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page112_image2.png,0.4103837
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page114_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page114_image2.png,0.4817934
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page116_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page116_image2.png,0.567934
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page117_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page117_image2.png,0.708658
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page118_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page118_image2.png,0.6115713
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page119_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page119_image2.png,0.41269633
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page120_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page120_image2.png,0.7127367
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page121_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page121_image2.png,0.48562524
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page122_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page122_image2.png,0.71544933
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page123_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page123_image2.png,0.71090657
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page124_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page124_image2.png,0.9081538
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page125_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page125_image2.png,0.61424375
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page126_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page126_image2.png,0.5817041
